50
150
0 2
1 8
2 5
3 1
4 10
5 5
6 9
7 9
8 3
9 5
10 6
11 6
12 2
13 8
14 2
15 2
16 6
17 3
18 8
19 7
20 2
21 5
22 3
23 4
24 3
25 3
26 2
27 7
28 9
29 6
30 8
31 7
32 2
33 9
34 10
35 3
36 8
37 10
38 6
39 5
40 4
41 2
42 3
43 4
44 4
45 5
46 2
47 2
48 4
49 9
47 44 3
7 37 10
23 41 10
28 16 6
40 42 9
6 40 3
14 48 7
5 40 10
20 0 7
1 43 9
29 23 5
4 6 1
16 26 2
8 44 10
26 23 8
38 18 3
29 41 4
15 39 9
4 30 8
6 23 7
21 45 5
22 20 10
27 23 8
12 36 1
11 36 6
17 5 5
31 2 1
0 41 5
16 30 8
41 7 8
3 33 6
8 21 9
22 46 7
30 13 9
12 5 1
9 24 8
48 33 6
41 2 1
41 36 5
20 46 2
48 49 9
34 31 5
3 49 9
38 0 9
27 17 9
43 48 4
7 21 1
17 13 5
9 16 6
1 0 10
19 6 9
3 24 9
44 9 10
2 45 6
23 37 5
3 48 1
8 18 1
46 48 2
39 48 10
7 22 3
38 42 9
29 40 8
8 41 6
38 6 2
2 34 3
5 28 7
25 33 10
42 44 7
31 48 3
1 21 10
7 26 3
39 25 3
0 10 4
19 11 9
1 39 6
23 2 6
32 35 9
26 17 8
19 4 2
39 26 10
18 42 6
5 34 10
41 12 6
10 18 4
39 23 10
46 37 10
49 37 7
49 43 6
47 16 7
5 38 3
14 1 7
21 36 4
13 5 6
3 12 9
32 45 4
6 21 9
46 32 2
44 46 3
29 11 6
0 23 7
42 39 4
24 4 1
45 49 7
13 24 3
37 5 9
25 27 5
14 24 5
24 22 10
33 20 8
47 18 8
23 20 4
35 2 1
13 27 3
49 27 6
43 24 4
22 11 2
3 32 6
43 25 2
22 36 5
0 37 1
35 33 2
10 46 8
35 0 1
44 45 5
19 25 7
44 8 3
21 16 9
43 1 5
18 14 10
2 0 8
10 26 1
7 20 6
26 27 4
8 14 10
32 36 6
37 27 5
29 28 4
20 2 3
23 46 8
11 45 6
14 10 3
26 11 2
11 47 4
20 40 5
38 13 1
1 12 10
0 13 9
28 15 8
27 0 9
39 3 1
